operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
      3.0 and up    ,Arcade,Stack up the blocks as high as you can!,,,"  500,000 - 1,000,000  ",17-Feb-16,1, 25M  ,Top Developer,"23,053",4.4,Stack
      4.0 and up    ,Role Playing,"Juggernaut Wars is a new captivating Action RPG MOBA game. Dozens of astounding heroes, beautiful arenas and thousands of upgrade possibilities are waiting for you! Each hero has their own personal story but now they share the common destiny: to go through many trials with dignity and gain many glorious victories. Assemble your unique party and leap into action!","- Much requested Exit window added,- Fixed a bug with the town store,- Fixed a rare bug with downloading graphics two times,- This update weighs just about 20 MB",,"  10,000 - 50,000  ",26-Feb-16,,,Top Developer,"3,364",4.5,Juggernaut Wars
      2.3 and up    ,Casino,"Mountains of Sichuan is a place where all things are natural. It is in the heart of China where the Mystic Great Panda, awaits.",,,  100 - 500  ,23-Feb-16,,,,54,4.3,Panda Adventure Slot Machines
      2.3 and up    ,Action,"The beasts are back in Mutant Fighting Cup 2! BIGGER! BETTER! MORE FEARSOME THAN EVER! Evolve, mutate and train your monsters to win the monster championship in hard brutal turn-based strategy battles!","- Fixed an issue with the Multiplayer PvP system.,- Improved the quality of PvP Matchmaking (Thanks for the feedback),- Fixed loads of developer mistakes (bugs),- Added additional language support for the following; English, Українська, Françai",,"  100,000 - 500,000  ",23-Feb-16, 1.0.8  , 44M  ,Top Developer,"8,016",4.5,Mutant Fighting Cup 2
      2.3 and up    ,Adventure,"Apple Shooter Champ is an exciting Shooting Game.,Shoot the apple off your girlfriend's head, but make sure you don't hit her.",,,"  50,000 - 100,000  ",5-Feb-16,1, 12M  ,,591,2.7,Apple Shooter Champ
      2.3 and up    ,Action,"This game is a free archery game, animal hunting and shooting game. ,It is hunter and/or shooter action game. It is also safari animals simulator, it is includes more than twenty animals and birds.,However, if you love hunter game,, You may play ""Archer on Horse: Dino Hunter"" dinosaur hunter game by Natural Action Games on the store. Coming soon, the future of deer hunter of mountain forests version for lovers of hunting game.",,,"  1,000 - 5,000  ",22-Feb-16,1, 48M  ,,160,4.4,Safari Archer: Animal Hunter
      2.3.3 and up    ,Simulation,"Shiba Inu, Dachshund, Toy Poodle, Corgi, Chihuahua,,Golden Retriever, Shepherd, Pitbull, Doberman ...,Many kinds of dogs from all over the world come to play in your yard!,Put ""food"" and ""toys"" on your yard to attract dogs and ,then take pictures of those dogs to complete the alubum.,◆ ◇ ◆ ◇ ◆ ◇ ◆ ◇ ◆ ◇ ◆ ◇ ◆ ◇ ◆ ◇ ◆◆ ◇ ◆◆ ◇ ◆,[How to Play],① Put the food on the dish.,② Put the toys.,③ Just wait until the dogs come to your yard.,※Note※,Keep your eyes on the foods. Sometimes cats are sneaking into your yard and steal the foods! To protect your foods, get them out by tapping on the screen. ^^,◆ ◇ ◆ ◇ ◆ ◇ ◆ ◇ ◆ ◇ ◆ ◇ ◆ ◇ ◆ ◇ ◆◆ ◇ ◆◆ ◇ ◆",bug fix,,"  10,000 - 50,000  ",20-Feb-16, 1.0.1  , 23M  ,,986,4,Boku to Wanko:Doggie Collector
      2.3 and up    ,Card,Explore ‘Solitaire Dream Forest: Cards’ pyramid tripeaks card game now! This can be your daily challenge in an ancient wonderland full of forest animals and wildlife. This classic matching game is full of animals that can help your during your journey through the wonderland of tripeaks and pyramid card adventures. Remove all cards from the pyramid and win the card game. An epic match puzzle game is here for your daily challenge!,"We've done some nice fixes for you, enjoy playing!,+ Bug fixes and user experience optimizations.",,"  10,000 - 50,000  ",11-Feb-16,1.3, 33M  ,,"1,210",4.6,Solitaire Dream Forest: Cards
      2.2 and up    ,Action,Speedometer lets you measure the speed at which you are going. It uses the GPS of your phone,,,"  100,000 - 500,000  ",18-Feb-16,1, 4.1M  ,,"24,266",4.1,Speedometer
      2.3 and up    ,Action,Color Switch is challenge game. Colour Switch Challenge is action game that is fun for all ages.,"- Stable build compared to previous one,- More mobiles and tablets support now",,"  10,000 - 50,000  ",27-Feb-16,1.1, 17M  ,,605,4.4,Color Switch Challenge
      4.0.3 and up    ,Role Playing,★★★ Medal Masters ★★★,"- Under level 4, it is now possible to continue playing even if the inventory is full,- Changed Korean in-app prices,- Fixed null push notifications,- Fixed connection errors when joining guilds,- Added a function to change the nickname once in the Settin",,"  100,000 - 500,000  ",22-Feb-16, 1.1.2  , 43M  ,Top Developer,"6,827",4.4,Medal Masters
      4.0.3 and up    ,Arcade,"Tune up your ninja senses, sharpen your slashing skill!","* New awards added,* Friendly UI adjustments,* Level difficulty adjustments",,"  50,000 - 100,000  ",19-Feb-16, 1.1.1  , 44M  ,,"1,970",4.4,iSlash Heroes
      2.3 and up    ,Casual,"Once you start discovering the lovely world of Valentine Connect, you won’t want to stop. Set in a gorgeous environment, this Match 3 game will let you create unbelievable chain reactions. ",80 New Levels,,"  50,000 - 100,000  ",18-Feb-16, 1.0.1  , 36M  ,Top Developer,569,4.3,Valentine Connect
      2.3 and up    ,Sports,HotStar Solo player live sports game of cricket. Hot Star can entertain you with International live game of cricket and indian premier league game of cricket.,,,"  5,000 - 10,000  ",28-Feb-16, 1.0.4  , 5.4M  ,,119,3.9,Hot Star Cricket
      4.1 and up    ,Arcade,"As the new Zombie INTERN, you will support* our team’s operations by making sure office supplies are properly distributed throughout the workplace. ,The ideal candidate should be able to navigate tight office spaces without bumping into things.",,,"  1,000 - 5,000  ",25-Feb-16,1.05, 28M  ,,71,3.4,Zombie INTERN
      2.3 and up    ,Casual,"Are you a passionate about makeup, fix and dress your friends? If you consider yourself a lover of the overall beauty of women and you think that every girl should always go to the last trend don't miss our amazing fashion game, because here you can make your dream come true with just one click, go for it!",,,"  10,000 - 50,000  ",16-Feb-16,1, 41M  ,,167,3.8,DressUp Salon and MakeUp
      4.0 and up    ,Adventure,"Play a FREE trial of this immersive, high-quality game! Then pay once & play forever offline!",,,"  1,000 - 5,000  ",21-Feb-16, 1.0.1  , 613M  ,Top Developer,118,3.9,Secrets: Eclipse Mountain
      2.3 and up    ,Card,"Play the #1 Classic FREE card game solitaire(or Klondike Solitaire/Patience) on Android and Google Play, bring back old memories of the period of time when solitaire reigned supreme.","Version 1.0.013,+ Fixed the bug which could not be auto saved,+ Minor improvements",,  100 - 500  ,25-Feb-16, 1.0.013  , 20M  ,,215,4.3,Solitaire
      2.3.3 and up    ,Arcade,"Sequel to the highly-rated Flash game Learn to Fly, played over 28 million times",Bug fixes and optimisations,,"  1,000 - 5,000  ",28-Feb-16,2.4, 59M  ,,475,4.4,Learn 2 Fly
      4.1 and up    ,Word,*** THE WORLD's NUMBER ONE FREE ONLINE CROSSWORD GAME! ***,"1. Puzzle loading speed optimization.,2. Fixes in UI for tablets.",,"  1,000 - 5,000  ",29-Feb-16, 1.1.4  , 28M  ,,212,4.4,Crossword Champ
      2.3 and up    ,Adventure,"Welcome to your 9th birthday, winter 1939. There is cake, music and a mysterious present. However, the mood changes quickly when an unexpected guest arrives at your party.",#NAME?,,"  5,000 - 10,000  ",19-Feb-16,1.1, 22M  ,,577,4.9,Cube Escape: Birthday
      3.0 and up    ,Arcade,"Droppy Balls features addictive one-touch gameplay with sleek, minimalist graphics. It is a crazy fun color matching skill game that will test your reaction time and reflexes!","Performance enhancements and critical bug fixes!,Thanks for playing Droppy Balls!",,"  1,000 - 5,000  ",6-Feb-16,1.3, 5.4M  ,,26,3.5,Droppy Balls!
      2.3 and up    ,Action,"In the virtual world, you are a sniper, and you are the lord!,One bullet means one death!,Very realistic hitting feelings, amazing sound effect, and vivid scenes! All of those make you unable to stop!,Take up your gun and kill those terrorists!,You need to be calm, cool-headed, and relentless! Breathe! Only headshots can give you the highest honor!,Death Shooting-Hunt leader (Free Game) is a First Person Shooter! In the game, you are a sniper fighting in battles. You should finish every quest and upgrade your weapons and equipments! Combos will bring you extra bonus!,Features,★★★★★ Gorgeous visual effects,★★★★★ Smooth game control feelings,★★★★★ Rich sub-quests,★★★★★ More powerful weapons and power-ups,★★★★★ Exciting game sound effect",,,"  10,000 - 50,000  ",23-Feb-16, 1.0.3  , 18M  ,,510,3.8,Death Shooting-Hunt leader HD
      4.0 and up    ,Role Playing," Where does the path of divine power lead? Introducing Revenant Dogma, a 3D battle RPG!","Ver. 1.1.0g,- English version released!",,"  10,000 - 50,000  ",4-Feb-16, 1.1.2g  , 74M  ,Top Developer,"3,193",4.4,RPG Revenant Dogma
      4.0.3 and up    ,Strategy,"[A strategy game featuring the craziest mass-infection in human history],The power of the undead is on the rise!",・Minor fixes,,"  50,000 - 100,000  ",1-Mar-16,,,,362,3.3,UNDEAD FACTORY～ZombiePandemic～
      4.0.3 and up    ,Arcade,"A to B is a simple game. Move the A to the B using your finger, but don't touch anything else or you'll have to start over. Can you finish all the levels?, ,More levels coming soon!",,,"  1,000 - 5,000  ",4-Feb-16,1, 28M  ,Top Developer,191,4.3,A to B - Don’t Touch Anything
      2.3 and up    ,Role Playing,The hospitals are full and this mommy needs emergency attention. Become a crazy doctor and perform this awesome operation. New born baby is on the way and it’s up to you to save her by playing this amazing surgery simulator game. ,,,  100 - 500  ,23-Feb-16,1, 52M  ,,14,4.7,Pregnant Girl Emergency Doctor
      2.3 and up    ,Casual,Compete with your opponent by shooting and throwing bomb at them to conquer the platform!,,,"  1,000 - 5,000  ",15-Feb-16, 1.0.1  , 52M  ,,127,3.3,Gun Mayhem
      4.1 and up    ,Casual,Prom night is fast approaching and you want to have the most unique look at the event to show off your individuality and creativity. Well now is your chance in this pretty prom themed design game. ,,,,25-Feb-16,1, 76M  ,,67,3.8,Prom Dress - Fashion Designer
      4.0 and up    ,Racing,,"Exciting New Track Added!,Face New Challenging Levels!,Enhance Driving Controls!,Bug Fixed!,---------------,- Minor Bugs Fixed,- Improved Gameplay",,"  10,000 - 50,000  ",11-Feb-16, 1.0.4  , 44M  ,,146,3.7,Snow Traffic Car Racing Rider
      4.0 and up    ,Educational,"Free fun awesome math games can help children's understanding of fractions to decimals and percents. Fraction games for 3rd graders cover a range of skills from identifying decimal to fraction converter and fraction to decimal converter. Practice a calculator with fraction decimal and percent in this 3 rd grade math study apps. Learning games for kids 3rd grade free math fraction are all of the games from cool math in one app that allows kid learning from anywhere in the world. Learn how to mixed number to improper fraction by playing these fraction games for 4th graders. A multiplication formula math tutor app for fraction 5th grade based on the big ideas math book. Set your own decimal to fraction calculator writing of challenge and beat your own previous best arithmetic practice second graders. In these 2 nd grade games for reading and math for free and all flash cards that don t need internet, little front row boys students explore fraction calculator with simplify, do my very funny math homework, and other pizza fraction concepts. Math fraction practice that challenges beginner to evolve master quickly find equivalent sets of improper fraction to mixed number symbols. This prep 4th grade math word facts games addition and subtraction equations workout test for a 6 year old mathematics schoolers sat is played worksheets like an education with fraction calculator that shows work for all classes. The preschoolers mathematical teacher first objective training of these times tables math games for 4th graders for free fraction numbers count speed drills videos story is to study guide improve division math skills builder for my 8 or 9 years old as much as possible by education research and fraction and decimal calculator. 20 high quick and fun fraction in 3 grade what puzzles questions books in this science app that does your math homework schools class. Battle quizzes mommy requires correct envision answers of fraction calculator plus free to be targeted board that u take a picture of playground only. Mathematica includes hooked prodigy pieces with powers needed on extra phonics math sound effects academy planet city. This think central go through balloons elementary exercise lesson for ages 7 thru 13 plan on the farm spot introduces enter a game solver that will reinforce fractions and decimals problems percentages and get steps car attack for adults everyday. This top kindergarteners fraction app tricks activity is best teach me accelerated math played in middle groups of elementary junior 3 year game 2 players toddlers take a pic of the problem and solve it. Brain teaching game preschool kid 4 explained in easy language common core made for six grade and up when your bored. Place value interactive educational games for kids 1st grade free for primary students and kindergarten for 7 year olds. This crazy reflex math fraction games with no wifi or internet offline 2nd and third grade are a great order way i ready to engage kids bedtime reading and make them genius experts on learn for kid 6th grades with you. This auto top free kid games for girls age 5 years old and sixth space is key stage 7th activities online helper tests both two your baby mental brains fraction equation calculator memory and operations skill in adapted hard mind maths app.",,,"  1,000 - 5,000  ",1-Feb-16, 1.0.0  , 3.9M  ,,38,3.9,Fractions to decimals games
      2.3 and up    ,Puzzle,"Picross Logic is an addictive puzzle game. Picross goal is to fill some of the puzzle's squares depending on the numbers on the left and above the puzzle. Once the puzzle is solved, you will see a drawing that will reward you for the long minutes of thinking! This game has several names: picross, hanjie, nonogram, crucipixel, pixel puzzles, Pic-a-Pix, griddlers, Paint by Numbers.",,,"  1,000 - 5,000  ",9-Feb-16, 1.0.0  , 21M  ,,51,4.3,Picross Logic ( Nonogram )
      2.3.3 and up    ,Arcade,Cubie Jump is the newest tap arcade game out and SUPER ADDICTIVE,Amazing Gameplay,,  10 - 50  ,19-Feb-16, 1.0.4  , 15M  ,,43,4.1,Cubie Jump
      2.3 and up    ,Educational,"What is the game Hippo House Cleaning? This exciting activity that combines several activities. You have to search items at the same time, clean the house and sort items. But anyone who thinks that the game cleaning - boring and monotonous occupation, he is seriously mistaken! Today we are working with favorite baby Hippo and her brother. So, kids games added another fun entertainment. Try it with your baby looking for items in the house rooms. Try yourself to explain to him why we need this or that thing. For clarity, get it at home and show. Then proceed boldly sort items. Your child is sure to enjoy. Forward! Today you will find an interesting game baby Hippo cleaning!",,,"  1,000 - 5,000  ",22-Feb-16, 1.0.1  , 22M  ,,17,3.5,Kids House Cleaning
      4.0.3 and up    ,Casual,"Build houses, decorations, decorate the streets.,Grow wheat and corn, cow and chicken on village farm.,Build a dream city - only on your decision depends on what your city will be!","Dear Builders!,Recently we have added more than 20 new quests for your joy.",,"  1,000 - 5,000  ",26-Feb-16,1.9,,,160,4.7,Megapolis Сity:Village to Town
      4.0.3 and up    ,Adventure,"Rusty Islands is a survival adventure game where you craft your own destiny in a huge open world environment. Discover this mysterious world. Use everything you find to survive.,Experience the full day-night cycle and face the dangers of darkness and cold.,Solve the secret of the Island.,--------------------------------------------------,""Survival Rusty Islands"" is:,   - Survival Island,   - Travel by islands,   - Construction of house,   - Craft items,   - Hunting,   - Zombie,--------------,Now in game:,   - Optimized graphics for mobile devices,   - Survival mechanics on the island,   - Player stats system,   - Saving progress","-add new weapon,-fix animation weapons,-fix bug with Wolfs,-edit interface,-improved weather,-add durability for weapon",,"  5,000 - 10,000  ",28-Feb-16, 1.2.2  , 76M  ,,282,3.9,Far Dead Islands Survival
