operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
      3.0 and up    ,Arcade,"You have so many delicious milkshakes! Slide them along the bar, but don't let them fall!,- Over 125 sweet levels,- Stunning shakes to unlock,- Delicious recipes,- Interesting milkshake facts,- Shakes are awesome!",,,"  10,000 - 50,000  ",28-Mar-16,1.1, 25M  ,,"3,520",4.2,Slide the Shakes
      4.0 and up    ,Casino,"Play Willy Wonka Slots, the FREE casino slots game with the iconic cast and characters! Join Charlie as he visits Willy Wonka’s chocolate factory and takes the tour of the most eccentric and wonderful candy factory of all., ,VEGAS CASINO SLOTS MEETS THE MUSICAL FANTASY FILM, ,•Follow your favorite characters as they tour the fantasy factory filled with delicious surprises by unlocking new levels.,•Each new level is a different spot on the thrilling tour of the famous chocolate factory and includes sounds from the movie.,•DELECTABLE Free Spins, JACKPOTS, a huge variety of Big Wins, Wonka Wins and Wonkavator Wins and dozens of BONUSES and ways to WIN BIG absolutely FREE.,•Collect millions of free credits every day,•Play the game online or offline and have your adventure sync across all devices with Facebook Connect., ,FROM THE MAKERS OF WIZARD OF OZ SLOTS, ,This game is intended for an adult audience and does not offer real money gambling or an opportunity to win real money or prizes. Practice or success at social gaming does not imply future success at real money gambling. Use of this application is governed by the Zynga™ Terms of Service. Collection and use of personal data are subject to Zynga's Privacy Policy. Both policies are available in the Application License Agreement and Privacy Policy sections below, as well as at www.zynga.com. Social Networking Service terms may also apply., ,WILLY WONKA AND THE CHOCOLATE FACTORY and all related characters and elements © & ™ Warner Bros. Entertainment Inc. (s16)",,,"  10,000 - 50,000  ",24-Mar-16, 3.0.46  , 61M  ,Top Developer,"1,402",4.5,Willy Wonka Slots Free Casino
   Varies with device    ,Puzzle,"Swap cakes in a crazy match-3 adventure starring YOU and YOUR friends! Escape to a crazy world where streets are filled with treats and YOU are the star baker. Satisfy YOUR friends’ cravings for sweets as you serve treats to become the best baker in the land. ,Increasingly challenging puzzle play includes new ways to match and win. Solve hundreds of crazy cascading levels and match your way to sweet victory!,Key Ingredients:,★ NEW WAYS TO PLAY: Match-4 squares make frosting tubes, match paths to get customers to the door, and find friends buried below treats!,★ YOUR PHOTOS IN THE GAME: Add and share unique photos of your friends, family, and even your pets to be the stars of this crazy cake adventure!,★ EXPLOSIVE FUN: Rainbow stars, exploding cakes, and frosting tubes create confectionary cascades,★ EVERLASTING GAMEPLAY: 150+ challenging, yet satisfying levels,★ GET CONNECTED: Save your progress, connect with friends, and see their photo in your game,Enjoy explosive fun for the whole family! Download free today!,LIKE: ,https://www.facebook.com/crazycakeswap,FOLLOW: @Crazycakeswap,ADDITIONAL DISCLOSURES:,● Use of this application is governed by the Zynga Terms of Service. These Terms are available through the License Agreement field below, and at ,http://m.zynga.com/legal/terms-of-service,.,● For specific information about how Zynga collects and uses personal or other data, please read our privacy policy at ,http://m.zynga.com/privacy/policy,. Zynga’s Privacy Policy is also available through the Privacy Policy field below.,● The game is free to play, however in-app purchases are available for additional content and premium currency. In-app purchases range from $0.99 to $99.99.,● This game does permit a user to connect to social networks, such as Facebook, and as such players may come into contact with other people when playing this game.,● Terms of Service for Social Networks you connect to in this game may also apply to you.,● You will be given the opportunity to participate in special offers, events, and programs from Zynga Inc. and its partners. ,● Must be 13+ to play.",,,"  100,000 - 500,000  ",30-Mar-16,   Varies with device  ,   Varies with device  ,Top Developer,"7,286",4.5,Crazy Cake Swap
      4.0 and up    ,Simulation,"Push the big red button and DESTROY THE WORLD, then profit from the destruction!,You’ve spent years developing the technology to withstand the total destruction of the earth’s surface, and Doomsday survivors will have no choice but to turn to YOU—their rescuer, their benefactor, their SUPREME LEADER! Tap the buttons to build your underground shelter, then tap some more to expand it with luxurious rooms and upgrades. The bigger your bunker, the more people you hold, and the more coins you make. Keep tapping and watch as your profits grow to greater and more outrageous extremes!,Doomsday Clicker is filled with crazy characters and who warm your heart, right before you destroy them all. It’s the ultimate game of construction and destruction!,In Doomsday Clicker you can:,• Collect bonuses when “unwanted visitors” come knock-knocking at your bunker’s door,• Discover endless quirky surprises!,• Feel immense satisfaction as numbers tick ever higher ,• Visit THE SUPERCHARGER, a wheel of chance that gives a limited-time productivity boost,• Destroy the world over and over again to increase profits. Destroy the world, and build it up again, making more and more every time!,• Meet tons of crazy characters… and watch them mutate,• Stay tuned! More locations, enemies and survivors characters are coming soon!,Doomsday Clicker is free to play but offers some game items for purchase with real money.,We love to hear from our players! On Twitter? Drop us a line @pikpokgames and join the conversation with #DoomsdayClicker",,,"  500,000 - 1,000,000  ",31-Mar-16, 1.1.2  , 42M  ,Top Developer,"26,306",4.1,Doomsday Clicker
      2.3 and up    ,Strategy,"Prepare to enter a world of chaos in Lords Mobile, a real-time, competitive strategy game. Build up your empire, collect exotic Heroes, train your troops, and battle your way to the top! Even in this dog-eat-dog world, perhaps you'll find an alliance within a Guild. But if they're not with you, they're against you. Destroy all who stand in your way to total domination! The world is yours for the taking in Lords Mobile!,- Fight players from all over the world from the comfort of your own device!,- Discover an epic world in stunning, hi-definition 3D graphics!,- Build a mighty kingdom and defend it with deadly traps!,- Collect a curious cast of kooky combatants! Can you complete your collection?,- Spy on your enemies in order to plan the perfect assault!,- Track your results in real-time!,- Unite your armies in powerful Guilds in order to conquer the world!,Visit our Facebook Page at: ,https://www.facebook.com/LordsMobile",,,"  1,000,000 - 5,000,000  ",26-Mar-16,,,Top Developer,"166,380",4.6,Lords Mobile
      2.3 and up    ,Casino,"***The latest and greatest FREE slots game***,It's our first 3D slots!,Titan Slots III is packed full of special quests, and each machine has its own exclusive 3D character to take you on a step-by-step journey through the world of the Titans. Unlock the mystery of the Titans and experience the awesome fun of this fantastic adventure.,Titan Slots III's huge variety of gameplay will make you feel like you're really in Las Vegas, all from the comfort of your phones and tablets.,If you're a fan of slots, then you won't want to miss Titan Slots III.,Stand-out features:,- Huge variety of slots, with each machine having its own exclusive 3D character!,- Huge payouts will give you an experience like you've never had before!,- Bonus games, free spins, and special gameplay modes designed for never-ending thrills!,- Bonus slots: special machines with awesome bonuses and undeniably cool payouts. It's truly a treat for the senses!,- All new 3-star quest feature that provides a greater challenge.,- Amazing worlds of unmatched size.,- Brand new building system that's truly brilliant!,- Updated with new slots regularly; the fun never ends!",,,,1-Apr-16, 1.0.11  , 76M  ,,129,4.3,Titan Slots III
      4.0 and up    ,Puzzle,"XXI puzzles require a sum of 21 in every row and column.  Move the gems around on the board until a solution is found.  All gems have a unique numerical value, but watch out for the special gem that can be either a 1 or 11.  Puzzles get harder as you progress your way through all 200 levels.  Can you become a XXI champion?,FEATURES,- 200 Unique & Challenging Puzzles,- Google Play Achievements (V, X, L, C, CC),- Google Play Leaderboard for Highest Level,- Beautiful Music, Sounds, and Graphics,- Optimized for all Android Phones and Tablets,- Share Solution Photos with Friends,Thanks for playing XXI by TMSOFT and good luck!,Website:  ,http://www.tmsoft.com/xxi/",,,"  10,000 - 50,000  ",31-Mar-16, 1.2.1  , 13M  ,Top Developer,374,3.9,XXI: 21 Puzzle Game
      4.0 and up    ,Puzzle,"YO-KAI WATCH has “wobbled” its way into an exciting puzzle game available on mobile devices!,Jibanyan, Komasan, and all your favorite Yo-kai have turned into adorable little Yo-kai Wib Wob! Connect them! Tap them! Pop them! Befriend them! Once you catch the fever, you’ll feel wibbly wobbly, too!,Features,*Connect & Pop -, -Swipe to connect matching Wib Wob and watch them grow. Pop them to deal damage to your opponent. The bigger the Wib Wob, the bigger the damage!,*Befriend & Collect -, -Befriend enemy Yo-kai and add them to your roster. You can collect over 200+ Yo-kai!,*Soultimate Moves -, -Utilize Soultimate Moves to unleash powerful attacks and take out your opponent!,*Missions & Events -, -Complete missions to earn rewards, and participate in special in-app events to stay up-to-date with the world of YO-KAI WATCH!,[Supported Android Devices],Android 4.2 and up",,,"  50,000 - 100,000  ",23-Mar-16, 1.0.2  , 41M  ,,"2,776",4.6,YO-KAI WATCH Wibble Wobble
      2.3 and up    ,Action,"Play against other people online! Can you become the biggest snake?,Watch out - if your head touches another snake, you will explode and then it's game over. But if you get other snakes to run into YOU, then THEY will explode and you can eat their remains!,Unlike other games, you have a fighting chance even if you're tiny! If you're a nimble navigator, you can swerve in front of a much larger snake to defeat them - no matter what size you are!,The biggest snake of the day gets to set a victory message that the ENTIRE WORLD will see!",,,"  10,000 - 50,000  ",30-Mar-16,,,,"12,600",4.1,slither.io
      2.3 and up    ,Puzzle,"Join the magical and highly addictive match 3 game about witchy charms and enchanting spells! Enter the haunted castle of the magic wizards and solve the witch puzzle adventure of sorcery. Every started brewing elixirs and charms? Swap potions and combine the most magical potions in this pop of spells. This fairy tale is about to start enchanting!,Witch Castle: Magic Wizards,- Many highly addictive and colorful spells challenges,- Addictive puzzle adventure with classic match 3 game mechanics,- Magical witch castle experience,- Enchanting Haunted Castle world map,- Play with witchy friends from Facebook,- Witch puzzle adventure -> colorful sorcery,Achieve your own little witchy witch castle title and start brewing magical elixirs and charms in this city of spells. Are you ready for this match 3 game with addictive puzzle adventure gameplay? Conquer sorcery in this fairy tale of magic wizards and reach the witch castle. Combine, swap potions and match 3 game elements and WIN!,There is one little witchy witch puzzle adventure girl that will help you during the journey. She will help you brewing elixirs and special charms for winning against the magic wizards of sorcery. Be friends with her and she will tell you secrets that can create enchanting spells! This fairy tale isn’t over, it’s just beginning.,This highly addictive witch puzzle adventure is ready for you, are you ready too? Start the match 3 game and begin this story of magic wizards in the haunted castle of sorcery. Enjoy and swap potions until you win!",,,"  10,000 - 50,000  ",22-Mar-16,,,,"1,179",4.5,Witch Castle: Magic Wizards
